,alpha,value
0,0.01,0.3220935048995742
0,0.02,0.37136767695440703
0,0.03,0.4204015757894519
0,0.04,0.469200261666993
0,0.05,0.5177688501697046
0,0.060000000000000005,0.5661125190580613
0,0.06999999999999999,0.6142365156517942
0,0.08,0.6621461647866782
0,0.09,0.7098468774024376
0,0.09999999999999999,0.75734415982224
0,0.11,0.8046436237893503
0,0.12,0.8517509973318634
0,0.13,0.8986721365322456
0,0.14,0.945413038284511
0,0.15000000000000002,0.9919798541284733
0,0.16,1.038378905257535
0,0.17,1.0846166988040336
0,0.18000000000000002,1.1306999455143079
0,0.19,1.1766355789344105
0,0.2,1.2224307762369373
0,0.21000000000000002,1.2680929808297936
0,0.22,1.3136299268990435
0,0.23,1.3590496660504625
0,0.24000000000000002,1.4043605962281642
0,0.25,1.449571493103906
0,0.26,1.4946915441477655
0,0.27,1.539730385609894
0,0.28,1.5846981426645987
0,0.29000000000000004,1.6296054729922254
0,0.3,1.6744636141019098
0,0.31,1.719284434729624
0,0.32,1.7640804906817296
0,0.33,1.808865085535318
0,0.34,1.853652336653669
0,0.35000000000000003,1.8984572470292704
0,0.36000000000000004,1.9432957835292897
0,0.37,1.9881849621902847
0,0.38,2.033142941292245
0,0.39,2.07818912303824
0,0.4,2.123344264777674
0,0.41000000000000003,2.1686306008405865
0,0.42000000000000004,2.2140719762010512
0,0.43,2.2596939933629203
0,0.44,2.305524174065485
0,0.45,2.3515921376451976
0,0.46,2.3979297981687933
0,0.47000000000000003,2.4445715827803673
0,0.48000000000000004,2.4915546740896763
0,0.49,2.5389192798818194
0,0.5,2.586708933963376
0,0.51,2.6349708325936136
0,0.52,2.683756211701539
0,0.53,2.7331207709860514
0,0.54,2.783125152067777
0,0.55,2.8338354791466367
0,0.56,2.88532397216688
0,0.5700000000000001,2.937669644362276
0,0.5800000000000001,2.990959098325133
0,0.59,3.0452874375112873
0,0.6,3.100759313483432
0,0.61,3.157490133366365
0,0.62,3.215607457145757
0,0.63,3.275252620852854
0,0.64,3.3365826296900365
0,0.65,3.3997723752230327
0,0.66,3.4650172435011544
0,0.67,3.532536197173962
0,0.68,3.6025754354368824
0,0.6900000000000001,3.6754127624290645
0,0.7000000000000001,3.751362829533603
0,0.7100000000000001,3.8307834626641304
0,0.72,3.9140833459226125
0,0.73,4.001731413413449
0,0.74,4.094268409229124
0,0.75,4.1923212228153215
0,0.76,4.296620809312462
0,0.77,4.408024786055751
0,0.78,4.527546193193931
0,0.79,4.6563904732138415
0,0.8,4.796003546056432
0,0.81,4.948135067729737
0,0.8200000000000001,5.114922777154483
0,0.8300000000000001,5.299006614660567
0,0.8400000000000001,5.503685637244895
0,0.85,5.733137702409939
0,0.86,5.992733304854345
0,0.87,6.289494263667983
0,0.88,6.632781756103487
0,0.89,7.035359645668922
0,0.9,7.515095810467695
0,0.91,8.097797694075593
0,0.92,8.822174523521369
0,0.93,9.749052861285708
0,0.9400000000000001,10.979807714107388
0,0.9500000000000001,12.696910977836861
0,0.9600000000000001,15.265302556046462
0,0.97,19.536503723989888
0,0.98,28.065070595867265
