,alpha,value
0,0.01,0.00016109564016860393
0,0.02,0.04025542446601247
0,0.03,0.08008562520799736
0,0.04,0.11965430189633296
0,0.05,0.15896402442929186
0,0.060000000000000005,0.19801732913071293
0,0.06999999999999999,0.23681671929661277
0,0.08,0.27536466573115137
0,0.09,0.31366360727219467
0,0.09999999999999999,0.35171595130670424
0,0.11,0.38952407427619057
0,0.12,0.4270903221724462
0,0.13,0.46441701102377847
0,0.14,0.5015064273719553
0,0.15000000000000002,0.538360828740067
0,0.16,0.5749824440915082
0,0.17,0.6113734742802743
0,0.18000000000000002,0.6475360924927626
0,0.19,0.6834724446812713
0,0.2,0.7191846499893639
0,0.21000000000000002,0.7546748011692943
0,0.22,0.7899449649916471
0,0.23,0.8249971826473796
0,0.24000000000000002,0.8598334701424127
0,0.25,0.8944558186849442
0,0.26,0.9288661950656328
0,0.27,0.9630665420308095
0,0.28,0.9970587786488646
0,0.29000000000000004,1.030844800669951
0,0.3,1.0644264808791561
0,0.31,1.0978056694432672
0,0.32,1.1309841942512724
0,0.33,1.1639638612487342
0,0.34,1.196746454766151
0,0.35000000000000003,1.2293337378414415
0,0.36000000000000004,1.2617274525366764
0,0.37,1.293929320249163
0,0.38,1.3259410420170228
0,0.39,1.3577642988193475
0,0.4,1.389400751871071
0,0.41000000000000003,1.4208520429126485
0,0.42000000000000004,1.4521197944946609
0,0.43,1.4832056102574331
0,0.44,1.5141110752057867
0,0.45,1.544837755979009
0,0.46,1.5753872011161463
0,0.47000000000000003,1.6057609413167098
0,0.48000000000000004,1.635960489696886
0,0.49,1.6659873420413494
0,0.5,1.6958429770507573
0,0.51,1.7255288565850102
0,0.52,1.7550464259023806
0,0.53,1.7843971138945631
0,0.54,1.8135823333177576
0,0.55,1.8426034810198384
0,0.56,1.8714619381637
0,0.5700000000000001,1.9001590704468538
0,0.5800000000000001,1.9286962283173439
0,0.59,1.9570747471860586
0,0.6,1.9852959476355077
0,0.61,2.0133611356251264
0,0.62,2.0412716026931914
0,0.63,2.0690286261553927
0,0.64,2.0966334693001483
0,0.65,2.124087381580702
0,0.66,2.1513915988040866
0,0.67,2.178547343317007
0,0.68,2.2055558241886937
0,0.6900000000000001,2.2324182373908075
0,0.7000000000000001,2.259135765974425
0,0.7100000000000001,2.28570958024419
0,0.72,2.312140837929674
0,0.73,2.338430684354009
0,0.74,2.3645802525998367
0,0.75,2.3905906636726595
0,0.76,2.416463026661629
0,0.77,2.4421984388978464
0,0.78,2.467797986110243
0,0.79,2.493262742579109
0,0.8,2.518593771287371
0,0.81,2.5437921240696975
0,0.8200000000000001,2.5688588417595746
0,0.8300000000000001,2.593794954334512
0,0.8400000000000001,2.6186014810595934
0,0.85,2.643279430629698
0,0.86,2.6678298013108743
0,0.87,2.692253581081576
0,0.88,2.7165517477750245
0,0.89,2.7407252692247215
0,0.9,2.7647751034167802
0,0.91,2.7887021986560745
0,0.92,2.812507493759903
0,0.93,2.836191918308841
0,0.9400000000000001,2.8597563930235363
0,0.9500000000000001,2.8832018304467204
0,0.9600000000000001,2.9065291364674506
0,0.97,2.92973921465737
0,0.98,2.9528329832670646
