,alpha,value
0,0.01,0.14363694461454235
0,0.02,0.143459935953837
0,0.03,0.1433066907777328
0,0.04,0.1431734018027931
0,0.05,0.14305759248669708
0,0.060000000000000005,0.14295747764376424
0,0.06999999999999999,0.14287169365233895
0,0.08,0.14279915889801326
0,0.09,0.1427389924156987
0,0.09999999999999999,0.1426904624956265
0,0.11,0.14265295227550073
0,0.12,0.14262593566450538
0,0.13,0.1426089599007759
0,0.14,0.14260163255474223
0,0.15000000000000002,0.14260361161846702
0,0.16,0.14261459780053953
0,0.17,0.14263432843679907
0,0.18000000000000002,0.1426625726103519
0,0.19,0.14269912719360736
0,0.2,0.14274381360493843
0,0.21000000000000002,0.14279647512738694
0,0.22,0.14285697467530803
0,0.23,0.14292519292233513
0,0.24000000000000002,0.14300102672406467
0,0.25,0.14308438778365018
0,0.26,0.1431752015195792
0,0.27,0.14327340610333178
0,0.28,0.14337895164108208
0,0.29000000000000004,0.14349179947864804
0,0.3,0.14361192161284214
0,0.31,0.1437393001955151
0,0.32,0.14387392711910718
0,0.33,0.1440158036745513
0,0.34,0.14416494027404642
0,0.35000000000000003,0.14432135623259526
0,0.36000000000000004,0.14448507960335116
0,0.37,0.14465614706279112
0,0.38,0.1448346038425695
0,0.39,0.14502050370562328
0,0.4,0.14521390896474823
0,0.41000000000000003,0.14541489054243079
0,0.42000000000000004,0.1456235280712477
0,0.43,0.14583991003463756
0,0.44,0.1460641339483138
0,0.45,0.14629630658304338
0,0.46,0.14653654422997375
0,0.47000000000000003,0.1467849730101498
0,0.48000000000000004,0.14704172923034403
0,0.49,0.14730695978782843
0,0.5,0.14758082262726566
0,0.51,0.1478634872534856
0,0.52,0.14815513530457047
0,0.53,0.14845596119039925
0,0.54,0.14876617280262652
0,0.55,0.1490859923029942
0,0.56,0.14941565699794213
0,0.5700000000000001,0.14975542030870248
0,0.5800000000000001,0.15010555284747332
0,0.59,0.15046634361190372
0,0.6,0.15083810131204084
0,0.61,0.15122115584612966
0,0.62,0.15161585994430613
0,0.63,0.1520225910023589
0,0.64,0.1524417531314638
0,0.65,0.15287377945425645
0,0.66,0.15331913468297034
0,0.67,0.1537783180218375
0,0.68,0.1542518664438128
0,0.6900000000000001,0.15474035840127862
0,0.7000000000000001,0.1552444180421758
0,0.7100000000000001,0.15576472001757405
0,0.72,0.15630199498481215
0,0.73,0.1568570359330404
0,0.74,0.15743070548662838
0,0.75,0.15802394437832984
0,0.76,0.15863778133080697
0,0.77,0.15927334464557574
0,0.78,0.1599318758774468
0,0.79,0.16061474607689283
0,0.8,0.16132347522217466
0,0.81,0.16205975565160413
0,0.8200000000000001,0.16282548056480747
0,0.8300000000000001,0.1636227790215134
0,0.8400000000000001,0.16445405937506422
0,0.85,0.16532206381037567
0,0.86,0.1662299377324518
0,0.87,0.16718131936913586
0,0.88,0.16818045744535073
0,0.89,0.1692323687427678
0,0.9,0.17034305384925252
0,0.91,0.17151980046794266
0,0.92,0.17277162339818194
0,0.93,0.17410992749065357
0,0.9400000000000001,0.17554955474099473
0,0.9500000000000001,0.17711054043055433
0,0.9600000000000001,0.17882130209065003
0,0.97,0.18072511008691836
0,0.98,0.18289562616740584
0,0.99,0.1854872335942828
